icd_code,attention_mean,attention_std
Z66,0.0013092492,0.0038317256
Z87891,0.0009312383,0.0019759955
R6521,0.0008747181,0.0030985523
N179,0.00071221485,0.0015041818
2724,0.00069785875,0.0013414666
25000,0.00063651334,0.0009817098
E1122,0.00063439755,0.00146655
Z515,0.0006007843,0.0023708148
J9601,0.00059041055,0.0016929669
4280,0.0005337864,0.0011438534
4019,0.0005265444,0.0010193274
I10,0.00051208533,0.001077348
E785,0.0005038526,0.00075891824
I2510,0.00046397105,0.00096133206
E875,0.00041287107,0.0014751261
V5867,0.00041126861,0.0010016
I4891,0.00037742348,0.001255889
K219,0.0003765008,0.0009763841
99592,0.000368678,0.0014873324
Z794,0.00035865777,0.0007097463
E872,0.00033552424,0.00095047354
V4986,0.00033004506,0.0014504212
42731,0.0003259782,0.00078810344
51881,0.00031646408,0.0010940257
G4733,0.00031316731,0.0009951291
41401,0.00030313362,0.0007238362
E119,0.00030115093,0.00066012226
F419,0.0002933224,0.0011024213
53081,0.00027278787,0.000866233
D62,0.00027085407,0.000687452
E1165,0.00026296306,0.0007435567
F329,0.00026180674,0.00087376265
Z7901,0.00025779227,0.0007981103
2762,0.00024487733,0.0009549707
32723,0.0002415033,0.00094966474
5849,0.00024146044,0.0005907371
Z992,0.00022840503,0.0011496829
5856,0.00022518713,0.00096862443
E669,0.0002204438,0.0007329126
V1582,0.00021930518,0.0007208289
3051,0.00020743451,0.00093116314
E871,0.00020211298,0.0006228415
5859,0.00020109014,0.00072345807
311,0.00019931638,0.000788133
V5861,0.0001970246,0.0007113616
0389,0.00018964375,0.0008644035
40390,0.00018525653,0.0005621056
D649,0.00018458218,0.000713913
F17210,0.0001821192,0.00082319276
I130,0.00018009485,0.0006605017
4271,0.00017994666,0.0014006804
D696,0.00017750144,0.00071465597
I214,0.0001746014,0.0008117252
I129,0.00017445754,0.00061492797
V4581,0.00017324947,0.00079285307
412,0.00017096191,0.00070476375
V667,0.00017076763,0.0013022493
25060,0.00016974863,0.00077607186
Z7902,0.00016920984,0.00070356036
M109,0.00016678758,0.0007728234
Z7984,0.00016323372,0.0009202832
E039,0.00016122444,0.0005785425
4275,0.00015667641,0.0012577246
2859,0.00015509447,0.00057940395
42832,0.0001499354,0.00079130125
E861,0.00014926065,0.0007321164
F05,0.000145656,0.0007890374
5990,0.00014488368,0.000519036
2851,0.00014397138,0.0006076021
Y929,0.00014369401,0.000729682
N390,0.00013982227,0.0005042017
N189,0.00013775371,0.00048841804
3572,0.0001368747,0.0005323209
486,0.00013437933,0.0005625052
Y92230,0.00013309674,0.0004897846
N184,0.00013292192,0.0009809632
J449,0.00013186845,0.00051444024
2767,0.00013181276,0.000578972
I480,0.00012767829,0.0005222679
5070,0.00012765387,0.0007733361
Z20822,0.00012705164,0.0004701681
E870,0.00012690414,0.00053105707
I469,0.00012675239,0.0011931796
E1140,0.00012484587,0.0005145588
I252,0.00012476135,0.0004978256
Z781,0.00012458509,0.00048737705
N170,0.00012337005,0.0005318693
E8339,0.000121817975,0.000602485
I2720,0.000121397745,0.0007149501
Z006,0.00012024704,0.0007132419
A419,0.00011981626,0.00047340713
2449,0.00011969958,0.0004460182
I110,0.0001184073,0.0004749726
I5033,0.00011835383,0.00056515227
E11649,0.000117124946,0.0005705546
G8929,0.00011694685,0.00060500274
4241,0.000112541806,0.0006236189
Z8673,0.00011133781,0.00048342466
K5900,0.00011018358,0.00061168906
4589,0.00011015175,0.00066829607
J95851,0.00010982863,0.00075907283
2875,0.00010940897,0.00053912186
V4511,0.00010685566,0.00057980017
496,0.00010559359,0.00046372192
G92,0.00010507922,0.00044101433
78959,0.00010363005,0.0007491539
42822,0.00010300638,0.0006149514
4439,0.00010263884,0.0005305121
41071,0.00010263076,0.0005507469
R1310,0.00010220591,0.0005842936
D6959,0.000101954116,0.0005793977
2720,9.923529e-05,0.00047313445
